Employee_ID,Employee_type,department,stress_level,dept_avg_stress,risk_status
HCP-00612,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03542,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-04344,"Healthcare Administrator",Administration,8,5.52,"high risk"
HCP-03080,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02433,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04176,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04060,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01224,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-03953,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00249,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01091,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01592,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01728,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04204,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04683,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04678,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-03914,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00442,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02305,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00070,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-03408,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00412,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02872,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-03444,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00519,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00676,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02054,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00472,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04250,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00053,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00051,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00396,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00391,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04762,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00446,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01197,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01956,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-03527,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02326,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01907,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01325,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02409,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01425,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04921,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02806,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02637,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01828,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-03776,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02452,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01080,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01085,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00972,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00532,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-02499,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00509,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01105,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01976,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-01389,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00576,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04946,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04991,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-04718,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00582,"Laboratory Technician",Laboratory,9,7.00,"high risk"
HCP-00352,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02252,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01368,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00486,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01373,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00198,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02013,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02018,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02582,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01361,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01560,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02114,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03204,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00273,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00948,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00384,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02512,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02510,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02045,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01520,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02482,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00921,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02462,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00578,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02357,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02352,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02426,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00815,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02107,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00428,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00814,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00265,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02074,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01912,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01917,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02140,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02076,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04175,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04049,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03956,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03497,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04523,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04905,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04521,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04017,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04860,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03772,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04803,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04109,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04787,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04756,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02996,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03147,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03570,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03584,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04643,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04338,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-04434,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-03337,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01150,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00105,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00128,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01121,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01853,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00595,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02395,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-01103,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00151,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-02255,"Radiology Technician",Radiology,9,7.05,"high risk"
HCP-00443,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00678,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00331,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04488,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-01489,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03306,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03309,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02387,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00444,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02282,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-01899,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02930,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-01914,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03141,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02348,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04867,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04474,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00838,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03518,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04587,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-01107,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-01739,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-01227,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00995,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00283,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00294,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00345,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02344,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02949,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03146,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-02870,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04691,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03188,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03871,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04295,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04372,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04409,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04936,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03576,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03688,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04404,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03228,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03634,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03235,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04739,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04846,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03436,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04444,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03902,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04012,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03287,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03781,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-04852,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-03916,"Pediatric Nurse",Pediatrics,9,7.39,"high risk"
HCP-00433,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03109,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04146,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02279,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02265,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04359,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04362,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03969,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00766,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02035,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02515,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04386,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04938,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00804,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03909,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03297,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00222,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04985,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04222,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03269,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03446,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00259,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00663,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01957,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03464,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03366,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04958,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03740,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01507,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00592,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00029,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02162,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04286,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03239,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02167,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00233,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00560,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03485,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03486,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04101,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04288,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04923,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04423,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00839,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01116,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04501,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02178,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04783,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00147,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00545,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01644,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00542,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01092,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04522,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02745,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01087,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01661,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04535,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01060,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02793,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01548,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01046,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00866,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01550,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01619,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01552,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02692,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01018,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02942,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04135,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04591,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00950,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00102,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02236,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03015,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01175,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00915,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03506,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01819,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01299,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03593,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03800,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00304,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02441,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01246,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04074,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-00360,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-04076,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03072,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03787,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01283,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02365,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01583,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03075,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01144,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01140,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03553,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01833,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-01126,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-03630,"Medical Assistant","Outpatient Services",9,7.39,"high risk"
HCP-02311,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00426,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00693,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00934,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04502,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00211,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01355,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01790,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00793,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00748,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01432,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03251,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01317,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01580,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03040,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04157,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00143,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04112,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03478,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00571,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03892,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01664,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04613,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-02273,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01946,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03636,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01139,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00624,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03907,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01394,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03354,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04392,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04593,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04291,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01758,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04661,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00364,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-02062,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01433,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01138,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04208,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01530,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01540,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04830,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-02877,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00652,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00130,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-01641,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04765,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04694,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-02696,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00650,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-02043,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-00734,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03558,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-04163,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03274,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-03139,"Physician (Specialist)","Specialty Care",9,7.49,"high risk"
HCP-02372,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-02536,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01857,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01972,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-03276,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-03277,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01206,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-03905,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01713,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01547,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-04063,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-03020,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01479,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-03607,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-01177,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-02066,"Healthcare Administrator",Administration,7,5.52,"high risk"
HCP-00726,"Healthcare Administrator",Administration,7,5.52,"high risk"
